sub_num,conditions,ecg_avgHR,ecg_meanRR,ecg_rmssd,ecg_nn50,ecg_pNN50,ecg_sd_RR,ecg_sd_HR,ecg_se,ecg_average_hrv,gsr_mean,gsr_std,level
5,0,1834.53237410072,131.25,140.731126620943,11,68.75,14.75,1731.79264807332,0.382066309183588,131.25,5.90892240116185,0.0652146922337761,0
5,0,1258.06451612903,172.666666666667,189.223412927682,7,58.3333333333333,25.6666666666667,1156.0236998025,0.381252401947579,172.666666666667,5.90779768969167,0.0688480588783732,0
5,0,1077.84431137725,197.454545454545,211.099717927549,5,45.4545454545455,114.545454545455,1029.76738830032,0.329859011811733,197.454545454545,6.04925776160217,0.0376463896219771,0
5,0,655.021834061135,228.444444444444,233.123715367327,7,77.7777777777778,102.444444444444,535.974215013516,0.400457323042842,228.444444444444,6.08630693374351,0.0191251558291239,0
5,0,1020.40816326531,228.666666666667,231.816977616203,7,77.7777777777778,29.6666666666667,945.031278843196,0.295212267347275,228.666666666667,6.1001330612293,0.0205280794621386,0
5,0,988.023952095808,211.4,222.32003958258,6,60,19.4,909.898952095808,0.28889896090522,211.4,6.07582581025274,0.011331466851946,0
5,0,1448.27586206897,159.230769230769,178.347974476864,7,53.8461538461538,182.769230769231,1404.41621294616,0.400748845053279,159.230769230769,6.0083175982499,0.00621792435718425,0
5,0,1153.84615384615,195.2,210.683649104528,6,60,41.8,1090.55501460565,0.375716979314558,195.2,5.9964132458884,0.00630901179605765,0
5,0,1090.90909090909,190.545454545455,201.265541466537,6,54.5454545454545,2.54545454545453,1011.12185686654,0.294060441886927,190.545454545455,6.08762002190047,0.0449772244734373,1
5,0,942.857142857143,216.7,236.31060069324,6,60,65.3,889.665653495441,0.312026354624702,216.7,6.16974421179748,0.0255823650940807,1
5,0,1655.1724137931,137.933333333333,143.654910578557,12,80,17.0666666666667,1558.39822024472,0.331548872848667,137.933333333333,6.16859286680457,0.030724491604424,1
5,0,1970.80291970803,125.058823529412,132.574063651007,13,76.4705882352941,12.9411764705882,1862.10726753412,0.370378666885886,125.058823529412,6.12416565400273,0.0242218823549832,1
5,0,1423.35766423358,163.333333333333,175.503561217429,8,66.6666666666667,89.3333333333333,1220.65496153087,0.398741454716311,163.333333333333,6.11452098958512,0.00655516720427201,1
5,0,1510.06711409396,153.571428571429,163.117398563997,11,78.5714285714286,46.5714285714286,1369.88019820611,0.31790196693885,153.571428571429,6.07011042273498,0.0137863925430397,5
5,0,1241.37931034483,185.727272727273,198.315863758253,7,63.6363636363636,51.2727272727273,1178.08817110432,0.345267530773645,185.727272727273,6.05916376746155,0.00956640576677415,5
5,0,1489.36170212766,158.615384615385,173.063349895127,7,53.8461538461538,69.6153846153846,1320.82237628496,0.368061325092849,158.615384615385,6.06685003566112,0.0195630767592965,5
5,0,1551.72413793103,146.857142857143,158.218655212155,11,78.5714285714286,7.14285714285714,1454.32154052844,0.356750844339433,146.857142857143,6.07315025094876,0.0107012227850182,5
5,0,1320.75471698113,166.230769230769,180.810780822213,8,61.5384615384615,12.2307692307692,1223.35211957853,0.390376705612218,166.230769230769,6.05619995576055,0.0165472931081315,5
5,0,962.566844919786,197.545454545455,203.813863387874,7,63.6363636363636,19.5454545454545,878.297181998438,0.370252240105441,197.545454545455,6.23525740648852,0.0315349785809164,2
5,0,1595.74468085106,153.285714285714,165.886363858774,9,64.2857142857143,80.7142857142857,1531.6421167485,0.398000056134078,153.285714285714,6.24703524961707,0.0193147276433905,2
5,0,1595.74468085106,149.214285714286,165.431254604443,11,78.5714285714286,124.785714285714,1541.00015530362,0.339094079109973,149.214285714286,6.23018372040897,0.009324195709156,2
5,0,1354.83870967742,163.692307692308,173.88634661313,8,61.5384615384615,0.307692307692321,1263.37529504327,0.35999251727374,163.692307692308,6.20575634114761,0.017205952942738,2
5,0,1354.83870967742,156.923076923077,168.561333279383,9,69.2307692307692,28.9230769230769,1237.65120967742,0.382784659935269,156.923076923077,6.16847662257517,0.0133897318768479,2
5,0,1161.29032258065,186.545454545455,194.568987531649,8,72.7272727272727,64.5454545454545,1038.33950290851,0.313022585030892,186.545454545455,6.1171399526533,0.0171777387304109,4
5,0,1170.21276595745,211.3,218.620447351111,6,60,33.7,1108.98827616153,0.336126207818872,211.3,6.15464494643881,0.0186081872140874,4
5,0,1433.12101910828,153.357142857143,168.652855636321,12,85.7142857142857,64.3571428571429,1264.58169326558,0.337579301603167,153.357142857143,6.14142140240472,0.00923632561193192,4
5,0,1454.54545454545,136,144.434991143651,11,73.3333333333333,114,1394.54545454545,0.39896518610093,136,6.12774231415898,0.0106005414925848,4
5,0,1415.09433962264,152.785714285714,161.230757434359,9,64.2857142857143,1.21428571428572,1317.69174222004,0.407693424517977,152.785714285714,6.10384982481239,0.0102412847274785,4
5,0,1161.29032258065,197,209.590292974391,8,72.7272727272727,2,1085.91343815853,0.281676907954745,197,6.10851651737276,0.0224813339865844,3
5,0,1090.90909090909,193.272727272727,200.97625368549,8,72.7272727272727,88.7272727272727,1037.71760154739,0.339098909793252,193.272727272727,6.13424144856949,0.0179817938344456,3
5,0,1726.61870503597,144.066666666667,161.829745926596,10,66.6666666666667,2.06666666666666,1620.98490221907,0.357775554550928,144.066666666667,6.15408508759648,0.0213806203215578,3
5,0,1573.42657342657,149.428571428571,162.368188298782,11,78.5714285714286,21.4285714285714,1456.23907342657,0.31665161486864,149.428571428571,6.12332558830671,0.0147279163199039,3
5,0,820.89552238806,211.3,216.459003046766,7,70,61.7,765.950467443005,0.324302034153708,211.3,6.09483049331381,0.0112480178356625,3
